date,open,high,low,close,volume,amount,code
2024-06-04,12.16434048,12.23142324,12.16434048,12.23142324,175628796,958146650.75,601398
2024-06-05,12.23142324,12.25378416,12.1867014,12.20906232,188997545,1031778716.41,601398
2024-06-06,12.20906232,12.27614508,12.1867014,12.20906232,237521446,1298076591.65,601398
2024-06-07,12.20906232,12.34322784,12.1867014,12.34322784,297294346,1633744047.22,601398
2024-06-11,12.34322784,12.38794968,12.16434048,12.16434048,333761444,1829863373.32,601398
2024-06-12,12.16434048,12.1867014,11.98545312,12.0748968,323476183,1745522079.8,601398
2024-06-13,12.0748968,12.16434048,12.05253588,12.14197956,180474450,977764799.1,601398
2024-06-14,12.14197956,12.34322784,12.11961864,12.298506,369814097,2027587054.7,601398
2024-06-17,12.27614508,12.298506,12.0748968,12.14197956,273785828,1489815818.37,601398
2024-06-18,12.11961864,12.20906232,12.05253588,12.1867014,201065032,1091725781.36,601398
2024-06-19,12.16434048,12.298506,12.16434048,12.298506,247937006,1360484559.85,601398
2024-06-20,12.298506,12.34322784,12.25378416,12.34322784,213376662,1175329568.93,601398
2024-06-21,12.32086692,12.36558876,12.25378416,12.32086692,224827378,1239151678.16,601398
2024-06-24,12.32086692,12.47739336,12.298506,12.45503244,331721147,1839293338.43,601398
2024-06-25,12.43267152,12.54447612,12.4103106,12.5221152,292474147,1633949389.27,601398
2024-06-26,12.5221152,12.65628072,12.49975428,12.58919796,252470534,1420409161.65,601398
2024-06-27,12.56683704,12.76808532,12.5221152,12.7457244,315653580,1788966260.8,601398
2024-06-28,12.72336348,12.79044624,12.6339198,12.7457244,268553336,1525746419.53,601398
2024-07-01,12.72336348,13.0811382,12.70100256,13.01405544,320284626,1854826331.93,601398
2024-07-02,13.01405544,13.37183016,12.99169452,13.34946924,377040533,2234061030.0,601398
2024-07-03,13.32710832,13.37183016,13.0811382,13.17058188,274371879,1619018145.76,601398
2024-07-04,13.17058188,13.37183016,13.14822096,13.32710832,261898011,1556909212.32,601398
2024-07-05,13.32710832,13.416552,12.99169452,13.03641636,399311982,2341435824.86,601398
2024-07-08,13.01405544,13.28238648,12.99169452,13.17058188,288364882,1699967172.11,601398
2024-07-09,13.17058188,13.28238648,13.0811382,13.28238648,295534319,1746477243.58,601398
2024-07-10,13.28238648,13.43891292,13.28238648,13.416552,287630133,1720936653.36,601398
2024-07-11,13.416552,13.416552,13.10349912,13.26002556,376798473,2229396342.55,601398
2024-07-12,13.23766464,13.6401612,13.21530372,13.59543936,400967281,2418946580.64,601398
2024-07-15,13.61780028,13.95321408,13.55071752,13.8637704,428958260,2640918176.64,601398
2024-07-16,13.93438352,14.05207257,13.72254323,13.86377009,503559121,2966243649.39,601398
2024-07-17,13.84023228,13.98145914,13.74608104,13.91084571,321899185,1898464087.54,601398
